# x, Trad, Tgas
9.510455278006e-03, 2.038849476832e+00, 1.562710975763e+00
9.541283334012e-03, 2.051750397190e+00, 1.577842487948e+00
9.572111390019e-03, 2.064716856367e+00, 1.592168974263e+00
9.602939446025e-03, 2.077766650412e+00, 1.606339888565e+00
9.633767502032e-03, 2.090870562499e+00, 1.621786614948e+00
9.664595558038e-03, 2.104065246178e+00, 1.637989547293e+00
9.695423614045e-03, 2.117304858729e+00, 1.653549240024e+00
9.726251670051e-03, 2.130637301102e+00, 1.669251266752e+00
9.757079726058e-03, 2.144004989989e+00, 1.685876643177e+00
9.787907782064e-03, 2.157469622937e+00, 1.702918998748e+00
9.818735838071e-03, 2.170961221306e+00, 1.719591642751e+00
9.849563894077e-03, 2.184549781372e+00, 1.736690780550e+00
9.880391950084e-03, 2.198158340144e+00, 1.754454442376e+00
9.911220006090e-03, 2.211864332610e+00, 1.772507314176e+00
9.942048062097e-03, 2.225584061521e+00, 1.790512568412e+00
9.972876118103e-03, 2.239398373635e+00, 1.808775470039e+00
1.000370417411e-02, 2.253221153162e+00, 1.827356225521e+00
1.003453223012e-02, 2.267135226381e+00, 1.846453107378e+00
1.006536028612e-02, 2.281053996659e+00, 1.865772935533e+00
1.009618834213e-02, 2.295059285696e+00, 1.885194964581e+00
1.012701639814e-02, 2.309064662644e+00, 1.904560409997e+00
1.015784445414e-02, 2.323150545066e+00, 1.924468143532e+00
1.018867251015e-02, 2.337233403737e+00, 1.944912827784e+00
1.021950056616e-02, 2.351391803808e+00, 1.965434182409e+00
1.025032862216e-02, 2.365542510409e+00, 1.985620785824e+00
1.028115667817e-02, 2.379761225918e+00, 2.006083100778e+00
1.031198473417e-02, 2.393968030340e+00, 2.027162944709e+00
1.034281279018e-02, 2.408238089884e+00, 2.048701610306e+00
1.037364084619e-02, 2.422491793989e+00, 2.069790986892e+00
1.040446890219e-02, 2.436801008697e+00, 2.090665953137e+00
1.043529695820e-02, 2.451086917181e+00, 2.111944900425e+00
1.046612501421e-02, 2.465424228986e+00, 2.134090862690e+00
1.049695307021e-02, 2.479733333006e+00, 2.156111249378e+00
1.052778112622e-02, 2.494088443778e+00, 2.177408848784e+00
1.055860918223e-02, 2.508404508730e+00, 2.198369200415e+00
1.058943723823e-02, 2.522762181144e+00, 2.220509443870e+00
1.062026529424e-02, 2.537075641618e+00, 2.243319310810e+00
1.065109335025e-02, 2.551429614747e+00, 2.265275774632e+00
1.068192140625e-02, 2.565726126949e+00, 2.285802946869e+00
1.071274946226e-02, 2.580056785580e+00, 2.307161629347e+00
1.074357751827e-02, 2.594322709710e+00, 2.330065176189e+00
1.077440557427e-02, 2.608627041375e+00, 2.352877715753e+00
1.080523363028e-02, 2.622854567664e+00, 2.373464846563e+00
1.083606168629e-02, 2.637112051301e+00, 2.393373258034e+00
1.086688974229e-02, 2.651280209710e+00, 2.415276730059e+00
1.089771779830e-02, 2.665485990659e+00, 2.438594396389e+00
1.092854585430e-02, 2.679596547775e+00, 2.459877562052e+00
1.095937391031e-02, 2.693736676269e+00, 2.478719110308e+00
1.099020196632e-02, 2.707763134084e+00, 2.498424012260e+00
1.102103002232e-02, 2.721823468959e+00, 2.521108446867e+00
1.105185807833e-02, 2.735772657530e+00, 2.543471567618e+00
1.108268613434e-02, 2.749754140408e+00, 2.562408488638e+00
1.111351419034e-02, 2.763602600596e+00, 2.579562387919e+00
1.114434224635e-02, 2.777477552791e+00, 2.599796516865e+00
1.117517030236e-02, 2.791225660325e+00, 2.622455888443e+00
1.120599835836e-02, 2.805010031610e+00, 2.642669787334e+00
1.123682641437e-02, 2.818650887959e+00, 2.659166277901e+00
1.126765447038e-02, 2.832313342087e+00, 2.677107800832e+00
1.129848252638e-02, 2.845832031801e+00, 2.698166021577e+00
1.132931058239e-02, 2.859385456682e+00, 2.718136433126e+00
1.136013863840e-02, 2.872786460266e+00, 2.734826706176e+00
1.139096669440e-02, 2.886210113704e+00, 2.751843175618e+00
1.142179475041e-02, 2.899478435084e+00, 2.770374864803e+00
1.145262280642e-02, 2.912775027315e+00, 2.788365238778e+00
1.148345086242e-02, 2.925911914268e+00, 2.804816505125e+00
1.151427891843e-02, 2.939072508201e+00, 2.821891212472e+00
1.154510697443e-02, 2.952074551220e+00, 2.839854268824e+00
1.157593503044e-02, 2.965103558801e+00, 2.856761044963e+00
1.160676308645e-02, 2.977967262221e+00, 2.871625202028e+00
1.163759114245e-02, 2.990851768344e+00, 2.887650961314e+00
1.166841919846e-02, 3.003574157076e+00, 2.905262651692e+00
1.169924725447e-02, 3.016326916099e+00, 2.921802077179e+00
1.173007531047e-02, 3.028909212021e+00, 2.935896023244e+00
1.176090336648e-02, 3.041515506822e+00, 2.950109173391e+00
1.179173142249e-02, 3.053949164931e+00, 2.966582848306e+00
1.182255947849e-02, 3.066421402638e+00, 2.983520356240e+00
1.185338753450e-02, 3.078719105123e+00, 2.997590037928e+00
1.188421559051e-02, 3.091048032602e+00, 3.010229405114e+00
1.191504364651e-02, 3.103192644117e+00, 3.024737871225e+00
1.194587170252e-02, 3.115383750592e+00, 3.041262344483e+00
1.197669975853e-02, 3.127394501856e+00, 3.056404592343e+00
1.200752781453e-02, 3.139452837641e+00, 3.068927983082e+00
1.203835587054e-02, 3.151313100119e+00, 3.080839904518e+00
1.206918392655e-02, 3.163226888512e+00, 3.095459687696e+00
1.210001198255e-02, 3.174949285101e+00, 3.111525536887e+00
1.213084003856e-02, 3.186740893884e+00, 3.125580086719e+00
