# x, Trad, Tgas
8.967041015625e-03, 1.830761095318e+00, 1.361416558539e+00
8.997802734375e-03, 1.842187938150e+00, 1.371289273446e+00
9.028564453125e-03, 1.853855655349e+00, 1.381475063234e+00
9.059326171875e-03, 1.865444234490e+00, 1.390981893163e+00
9.090087890625e-03, 1.877291002442e+00, 1.401929987268e+00
9.120849609375e-03, 1.889042896861e+00, 1.412787450772e+00
9.151611328125e-03, 1.901066631642e+00, 1.423881118977e+00
9.182373046875e-03, 1.912973750721e+00, 1.434368651966e+00
9.213134765625e-03, 1.925177213135e+00, 1.446426855786e+00
9.243896484375e-03, 1.937239135727e+00, 1.458358670220e+00
9.274658203125e-03, 1.949614412597e+00, 1.470448039435e+00
9.305419921875e-03, 1.961828152150e+00, 1.481968933003e+00
9.336181640625e-03, 1.974371510237e+00, 1.495151682240e+00
9.366943359375e-03, 1.986739322049e+00, 1.508251872512e+00
9.397705078125e-03, 1.999447904910e+00, 1.521398727826e+00
9.428466796875e-03, 2.011965098463e+00, 1.533963555178e+00
9.459228515625e-03, 2.024831010300e+00, 1.548318964415e+00
9.489990234375e-03, 2.037496450404e+00, 1.562666367141e+00
9.520751953125e-03, 2.050515441643e+00, 1.576957872958e+00
9.551513671875e-03, 2.063324292929e+00, 1.590564719744e+00
9.582275390625e-03, 2.076490705569e+00, 1.606073332824e+00
9.613037109375e-03, 2.089440886134e+00, 1.621716952685e+00
9.643798828125e-03, 2.102749923323e+00, 1.637222879623e+00
9.674560546875e-03, 2.115835785057e+00, 1.651888900628e+00
9.705322265625e-03, 2.129279722003e+00, 1.668536938920e+00
9.736083984375e-03, 2.142496928777e+00, 1.685484095197e+00
9.766845703125e-03, 2.156072773314e+00, 1.702261904239e+00
9.797607421875e-03, 2.169412655622e+00, 1.717965944041e+00
9.828369140625e-03, 2.183111949028e+00, 1.735661179438e+00
9.859130859375e-03, 2.196569385414e+00, 1.753877187549e+00
9.889892578125e-03, 2.210388501721e+00, 1.772005662832e+00
9.920654296875e-03, 2.223953677115e+00, 1.788710180933e+00
9.951416015625e-03, 2.237882436179e+00, 1.807180728939e+00
9.982177734375e-03, 2.251548267358e+00, 1.826607499364e+00
1.001293945312e-02, 2.265582102946e+00, 1.846313232304e+00
1.004370117188e-02, 2.279338556601e+00, 1.864052748575e+00
1.007446289063e-02, 2.293464828979e+00, 1.882943334995e+00
1.010522460937e-02, 2.307303227558e+00, 1.903228003685e+00
1.013598632813e-02, 2.321518250200e+00, 1.924580155363e+00
1.016674804688e-02, 2.335431651545e+00, 1.943610397102e+00
1.019750976562e-02, 2.349719648732e+00, 1.962658110874e+00
1.022827148438e-02, 2.363694767178e+00, 1.983204841754e+00
1.025903320313e-02, 2.378048564349e+00, 2.005990438726e+00
1.028979492187e-02, 2.392081296932e+00, 2.026488069173e+00
1.032055664063e-02, 2.406488099155e+00, 2.045954135513e+00
1.035131835938e-02, 2.420559469854e+00, 2.066698401063e+00
1.038208007812e-02, 2.435009926796e+00, 2.090134715546e+00
1.041284179688e-02, 2.449115594138e+00, 2.111347291996e+00
1.044360351563e-02, 2.463597834342e+00, 2.131675442849e+00
1.047436523437e-02, 2.477717578239e+00, 2.153152169575e+00
1.050512695313e-02, 2.492221030826e+00, 2.176600972190e+00
1.053588867188e-02, 2.506347721665e+00, 2.197570597269e+00
1.056665039062e-02, 2.520859102480e+00, 2.218212005218e+00
1.059741210938e-02, 2.534975287225e+00, 2.240155179363e+00
1.062817382813e-02, 2.549486620612e+00, 2.263932264475e+00
1.065893554687e-02, 2.563584918107e+00, 2.284985760011e+00
1.068969726563e-02, 2.578079416621e+00, 2.305277595583e+00
1.072045898438e-02, 2.592141283992e+00, 2.326625157743e+00
1.075122070312e-02, 2.606609179286e+00, 2.350533615408e+00
1.078198242188e-02, 2.620632249877e+00, 2.372285412240e+00
1.081274414063e-02, 2.635060590566e+00, 2.392184842450e+00
1.084350585937e-02, 2.649021823040e+00, 2.411767225965e+00
1.087426757812e-02, 2.663396519596e+00, 2.434928027450e+00
1.090502929688e-02, 2.677297195134e+00, 2.457891079760e+00
1.093579101562e-02, 2.691615554121e+00, 2.478271119087e+00
1.096655273437e-02, 2.705433386908e+00, 2.495830454995e+00
1.099731445313e-02, 2.719670081645e+00, 2.516896499162e+00
1.102807617187e-02, 2.733401212104e+00, 2.540037695968e+00
1.105883789062e-02, 2.747566473129e+00, 2.561397861069e+00
1.108959960938e-02, 2.761201007368e+00, 2.578423134533e+00
1.112036132812e-02, 2.775268688326e+00, 2.597801309298e+00
1.115112304687e-02, 2.788792368887e+00, 2.619181383249e+00
1.118188476563e-02, 2.802768004585e+00, 2.639458695261e+00
1.121264648437e-02, 2.816176016665e+00, 2.656971702041e+00
1.124340820312e-02, 2.830044745477e+00, 2.676391593843e+00
1.127416992188e-02, 2.843329181852e+00, 2.695435413630e+00
1.130493164062e-02, 2.857088619535e+00, 2.714008809315e+00
1.133569335937e-02, 2.870242933760e+00, 2.731614867266e+00
1.136645507813e-02, 2.883885244599e+00, 2.750437195590e+00
1.139721679687e-02, 2.896905156887e+00, 2.767602921637e+00
1.142797851562e-02, 2.910424379163e+00, 2.784957283248e+00
1.145874023438e-02, 2.923304636948e+00, 2.802405457471e+00
1.148950195312e-02, 2.936701602072e+00, 2.820821232639e+00
1.152026367187e-02, 2.949441756515e+00, 2.836606261126e+00
1.155102539063e-02, 2.962707890396e+00, 2.852499000346e+00
1.158178710938e-02, 2.975298693528e+00, 2.869056943734e+00
1.161254882812e-02, 2.988437399378e+00, 2.887234585558e+00
1.164331054688e-02, 3.000885653125e+00, 2.902594630155e+00
1.167407226563e-02, 3.013891229408e+00, 2.917134144932e+00
1.170483398437e-02, 3.026184891277e+00, 2.932067002293e+00
1.173559570313e-02, 3.039058012392e+00, 2.949771678692e+00
1.176635742188e-02, 3.051207526696e+00, 2.965388312758e+00
1.179711914062e-02, 3.063951770294e+00, 2.979309605517e+00
1.182788085938e-02, 3.075942823362e+00, 2.992186880993e+00
1.185864257813e-02, 3.088551721773e+00, 3.008312730746e+00
1.188940429687e-02, 3.100394575389e+00, 3.024600895196e+00
1.192016601563e-02, 3.112882413412e+00, 3.039464702778e+00
1.195092773438e-02, 3.124571012159e+00, 3.050590978235e+00
1.198168945312e-02, 3.136920517480e+00, 3.063833677283e+00
1.201245117188e-02, 3.148454093577e+00, 3.079376956911e+00
1.204321289063e-02, 3.160687407024e+00, 3.096217618813e+00
1.207397460937e-02, 3.172080664779e+00, 3.108151483893e+00
1.210473632813e-02, 3.184182588261e+00, 3.118750748731e+00
1.213549804688e-02, 3.195414893377e+00, 3.131408272325e+00
1.216625976562e-02, 3.207390878608e+00, 3.148610390243e+00
1.219702148438e-02, 3.218492757986e+00, 3.162778839929e+00
1.222778320313e-02, 3.230351762730e+00, 3.174520807162e+00
1.225854492187e-02, 3.241303116221e+00, 3.185387427475e+00
1.228930664063e-02, 3.253032669240e+00, 3.198889321961e+00
1.232006835938e-02, 3.263839802993e+00, 3.211501532955e+00
1.235083007812e-02, 3.275453728645e+00, 3.224998537595e+00
1.238159179688e-02, 3.286121221908e+00, 3.237196191782e+00
1.241235351563e-02, 3.297619017011e+00, 3.249620043765e+00
1.244311523437e-02, 3.308142107585e+00, 3.260082398882e+00
1.247387695313e-02, 3.319522279814e+00, 3.272687257583e+00
1.250463867188e-02, 3.329906876926e+00, 3.285744278318e+00
1.253540039062e-02, 3.341184286201e+00, 3.299064540779e+00
1.256616210938e-02, 3.351431889337e+00, 3.308769389263e+00
1.259692382813e-02, 3.362593632063e+00, 3.319540213685e+00
1.262768554687e-02, 3.372696010615e+00, 3.331368743648e+00
1.265844726563e-02, 3.383757983215e+00, 3.345698385602e+00
1.268920898438e-02, 3.393732339509e+00, 3.356784107345e+00
1.271997070312e-02, 3.404691356579e+00, 3.366494497228e+00
1.275073242188e-02, 3.414518460741e+00, 3.375629111601e+00
1.278149414063e-02, 3.425370924574e+00, 3.389285022066e+00
1.281225585937e-02, 3.435078349799e+00, 3.402383407144e+00
1.284301757812e-02, 3.445841850607e+00, 3.413656876952e+00
1.287377929688e-02, 3.455419734683e+00, 3.420861902898e+00
1.290454101562e-02, 3.466072714491e+00, 3.430867409431e+00
1.293530273437e-02, 3.475519449232e+00, 3.444072770310e+00
1.296606445313e-02, 3.486101837309e+00, 3.457905435707e+00
1.299682617187e-02, 3.495405080630e+00, 3.467274390811e+00
1.302758789062e-02, 3.505953813299e+00, 3.474978499914e+00
1.305834960938e-02, 3.515035820798e+00, 3.485421787794e+00
1.308911132812e-02, 3.525634156939e+00, 3.498174369852e+00
1.311987304687e-02, 3.534423910677e+00, 3.510049138115e+00
1.315063476563e-02, 3.545258999429e+00, 3.516044578366e+00
1.318139648437e-02, 3.553465739184e+00, 3.530667532764e+00
