# x, vel
1.133569335937e-02, 4.425863562266e+07
1.136645507813e-02, 4.416840907173e+07
1.139721679687e-02, 4.406551574952e+07
1.142797851562e-02, 4.396056180538e+07
1.145874023438e-02, 4.387250789873e+07
1.148950195312e-02, 4.379103650600e+07
1.152026367187e-02, 4.368276743969e+07
1.155102539063e-02, 4.357158844678e+07
1.158178710938e-02, 4.348755180050e+07
1.161254882812e-02, 4.341839369337e+07
1.164331054688e-02, 4.331906193776e+07
1.167407226563e-02, 4.320101797046e+07
1.170483398437e-02, 4.310779845149e+07
1.173559570313e-02, 4.304755304122e+07
1.176635742188e-02, 4.296662078131e+07
1.179711914062e-02, 4.285172196629e+07
1.182788085938e-02, 4.274014946608e+07
1.185864257813e-02, 4.267137356130e+07
1.188940429687e-02, 4.261553625951e+07
1.192016601563e-02, 4.252452647362e+07
1.195092773438e-02, 4.239726581654e+07
1.198168945312e-02, 4.229718378399e+07
1.201245117188e-02, 4.224746282765e+07
1.204321289063e-02, 4.219823100876e+07
1.207397460937e-02, 4.209083105233e+07
1.210473632813e-02, 4.195667845741e+07
1.213549804688e-02, 4.187304127319e+07
1.216625976562e-02, 4.184077772704e+07
1.219702148438e-02, 4.176892936499e+07
1.222778320313e-02, 4.165272502805e+07
1.225854492187e-02, 4.155094810733e+07
1.228930664063e-02, 4.147554429140e+07
1.232006835938e-02, 4.140208499761e+07
1.235083007812e-02, 4.132529555727e+07
1.238159179688e-02, 4.124651510221e+07
1.241235351563e-02, 4.115518650568e+07
1.244311523437e-02, 4.105720150416e+07
1.247387695313e-02, 4.097629061365e+07
1.250463867188e-02, 4.091933899062e+07
1.253540039062e-02, 4.084530225340e+07
1.256616210938e-02, 4.074071260148e+07
1.259692382813e-02, 4.063739086720e+07
1.262768554687e-02, 4.057304144770e+07
1.265844726563e-02, 4.052072403690e+07
1.268920898438e-02, 4.044096059377e+07
1.271997070312e-02, 4.032193521770e+07
1.275073242188e-02, 4.022733820700e+07
1.278149414063e-02, 4.017202613787e+07
1.281225585937e-02, 4.013051083169e+07
1.284301757812e-02, 4.003346384430e+07
1.287377929688e-02, 3.991144972412e+07
1.290454101562e-02, 3.981056992966e+07
1.293530273437e-02, 3.978121974284e+07
1.296606445313e-02, 3.972906335870e+07
1.299682617187e-02, 3.963601385952e+07
1.302758789062e-02, 3.949681002589e+07
1.305834960938e-02, 3.942689977280e+07
1.308911132812e-02, 3.939173911040e+07
1.311987304687e-02, 3.929429373090e+07
1.315063476563e-02, 3.919906415477e+07
1.318139648437e-02, 3.909747789013e+07
1.321215820312e-02, 3.905050801508e+07
1.324291992188e-02, 3.858484017535e+07
1.327368164062e-02, 2.821999271512e+07
1.330444335937e-02, 2.729002391354e+07
1.333520507813e-02, 2.535414222260e+07
1.336596679687e-02, 2.459707290534e+07
1.339672851562e-02, 2.330987130266e+07
1.342749023438e-02, 2.276413497899e+07
1.345825195312e-02, 2.182863362655e+07
1.348901367187e-02, 2.144275349700e+07
1.351977539063e-02, 2.077367109452e+07
1.355053710938e-02, 2.049514156119e+07
1.358129882812e-02, 1.998542732681e+07
1.361206054688e-02, 1.976915500769e+07
1.364282226563e-02, 1.938863212733e+07
1.367358398437e-02, 1.923381309871e+07
1.370434570313e-02, 1.894063127627e+07
1.373510742188e-02, 1.881184061758e+07
1.376586914062e-02, 1.858341710450e+07
1.379663085938e-02, 1.849404927048e+07
1.382739257813e-02, 1.831833128600e+07
1.385815429687e-02, 1.823645450631e+07
1.388891601563e-02, 1.809455469321e+07
1.391967773438e-02, 1.804218151069e+07
1.395043945312e-02, 1.793692679261e+07
1.398120117188e-02, 1.788483835639e+07
1.401196289063e-02, 1.779400412771e+07
1.404272460937e-02, 1.776119868047e+07
1.407348632813e-02, 1.769663836043e+07
1.410424804688e-02, 1.766456829052e+07
1.413500976562e-02, 1.760799718621e+07
1.416577148438e-02, 1.758758445263e+07
1.419653320313e-02, 1.754603558358e+07
1.422729492187e-02, 1.752480631883e+07
1.425805664063e-02, 1.749001768975e+07
1.428881835938e-02, 1.747806138641e+07
1.431958007812e-02, 1.745195656186e+07
1.435034179688e-02, 1.743768412600e+07
1.438110351563e-02, 1.741384889402e+07
1.441186523437e-02, 1.740574703478e+07
1.444262695313e-02, 1.738947961444e+07
1.447338867188e-02, 1.737980484228e+07
1.450415039062e-02, 1.736401361156e+07
1.453491210938e-02, 1.735891211637e+07
1.456567382813e-02, 1.734950174234e+07
1.459643554687e-02, 1.734259866260e+07
1.462719726563e-02, 1.733274469821e+07
1.465795898438e-02, 1.732978839797e+07
1.468872070312e-02, 1.732410353070e+07
1.471948242188e-02, 1.731819993889e+07
1.475024414063e-02, 1.731090356621e+07
1.478100585937e-02, 1.730851167244e+07
1.481176757812e-02, 1.730671182126e+07
1.484252929688e-02, 1.730458928048e+07
1.487329101562e-02, 1.729874403974e+07
1.490405273437e-02, 1.729487887111e+07
1.493481445313e-02, 1.729255566823e+07
1.496557617187e-02, 1.729255379490e+07
1.499633789062e-02, 1.729202343899e+07
1.502709960938e-02, 1.728977466768e+07
1.505786132812e-02, 1.728612069497e+07
1.508862304687e-02, 1.728453424757e+07
1.511938476563e-02, 1.728434961453e+07
1.515014648437e-02, 1.728418159577e+07
1.518090820312e-02, 1.728220241533e+07
1.521166992188e-02, 1.727997897457e+07
1.524243164062e-02, 1.727915493577e+07
1.527319335937e-02, 1.727923142168e+07
1.530395507813e-02, 1.727883235074e+07
1.533471679687e-02, 1.727744081795e+07
1.536547851562e-02, 1.727651275757e+07
1.539624023438e-02, 1.727651198805e+07
1.542700195313e-02, 1.727659121767e+07
1.545776367187e-02, 1.727629647804e+07
1.548852539063e-02, 1.727515570692e+07
1.551928710938e-02, 1.727421150283e+07
1.555004882812e-02, 1.727399949707e+07
1.558081054688e-02, 1.727420123308e+07
1.561157226563e-02, 1.727421417918e+07
1.564233398437e-02, 1.727387832586e+07
1.567309570313e-02, 1.727314305511e+07
1.570385742188e-02, 1.727289885153e+07
1.573461914062e-02, 1.727236385155e+07
